Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
50 First Dates,2004,6.8,"Comedy, Drama, Romance",296289,Peter Segal,99,120.91,-1.0,-1.0,-1.0,-1.0,False
50/50,2011,7.7,"Comedy, Drama, Romance",295343,Jonathan Levine,100,35.01,-1.0,-1.0,0.0,0.0,True
500 Days of Summer,2009,7.7,"Comedy, Drama, Romance",429267,Marc Webb,95,32.39,-1.0,-1.0,-1.0,-1.0,False
54,1998,5.8,"Drama, Music",29821,Mark Christopher,93,16.57,-1.0,-1.0,-1.0,-1.0,False
5x2,2004,6.7,"Drama, Romance",8201,François Ozon,90,0.13,-1.0,-1.0,-1.0,-1.0,False
6 Bullets,2012,6.1,"Action, Crime, Drama",12855,Ernie Barbarash,115,,-1.0,-1.0,-1.0,-1.0,False
6 Days,2017,6.2,"Action, Drama, History",12501,Toa Fraser,94,,-1.0,-1.0,-1.0,-1.0,False
6 Souls,2010,6.1,"Horror, Mystery, Thriller",29572,Måns Mårlind,112,,-1.0,-1.0,-1.0,-1.0,False
6 Years,2015,5.6,"Drama, Romance",9477,Hannah Fidell,79,,-1.0,-1.0,-1.0,-1.0,False
6 donne per l'assassino,1964,7.3,"Horror, Mystery, Thriller",6776,Mario Bava,88,,-1.0,-1.0,-1.0,-1.0,False
666: The Prophecy,2011,4.0,"Horror, Mystery, Thriller",11568,Darren Lynn Bousman,90,,-1.0,-1.0,-1.0,-1.0,False
7 Aum Arivu,2011,6.1,"Action, Sci-Fi, Thriller",8579,A.R. Murugadoss,168,,-1.0,-1.0,-1.0,-1.0,False
7-beon-bang-ui seon-mul,2013,8.2,"Comedy, Drama",10213,Hwan-kyung Lee,127,,-1.0,-1.0,-1.0,-1.0,False
8 Heads in a Duffel Bag,1997,5.3,"Comedy, Crime",8757,Tom Schulman,95,3.56,-1.0,-1.0,-1.0,-1.0,False
8 Mile,2002,7.1,"Drama, Music",219951,Curtis Hanson,110,116.72,1.0,-1.0,0.0,1.0,True
8 femmes,2002,7.1,"Comedy, Crime, Musical",26386,François Ozon,111,3.08,-1.0,-1.0,-1.0,-1.0,False
84 Charing Cross Road,1987,7.5,"Biography, Drama, Romance",6667,David Hugh Jones,100,1.08,-1.0,-1.0,-1.0,-1.0,False
88 Minutes,2007,5.9,"Crime, Drama, Mystery",70551,Jon Avnet,108,16.93,-1.0,-1.0,-1.0,-1.0,False
8MM,1999,6.5,"Mystery, Thriller",113562,Joel Schumacher,123,36.66,-1.0,-1.0,-1.0,-1.0,False
8½,1963,8.1,Drama,96418,Federico Fellini,138,0.05,-1.0,-1.0,-1.0,-1.0,False
9,2009,7.1,"Animation, Action, Adventure",122986,Shane Acker,79,31.74,-1.0,-1.0,-1.0,-1.0,False
9 Songs,2004,4.8,"Drama, Music, Romance",19917,Michael Winterbottom,71,0.05,-1.0,-1.0,-1.0,-1.0,False
9 to 5,1980,6.8,Comedy,23684,Colin Higgins,109,103.29,-1.0,-1.0,-1.0,-1.0,False
99 Homes,2014,7.1,Drama,25568,Ramin Bahrani,112,1.41,-1.0,0.0,-1.0,0.0,True
99 francs,2007,7.3,"Comedy, Drama",17279,Jan Kounen,100,,-1.0,-1.0,-1.0,-1.0,False
9th Company,2005,7.1,"Action, Drama, History",18159,Fedor Bondarchuk,139,,-1.0,-1.0,-1.0,-1.0,False
A Bad Moms Christmas,2017,5.5,"Adventure, Comedy",26848,Jon Lucas,104,72.11,-1.0,-1.0,-1.0,-1.0,False
A Bay of Blood,1971,6.7,"Horror, Mystery, Thriller",7619,Mario Bava,84,,-1.0,-1.0,-1.0,-1.0,False
A Beautiful Mind,2001,8.2,"Biography, Drama",740906,Ron Howard,135,170.74,1.0,1.0,1.0,1.0,True
A Better Life,2011,7.2,"Drama, Romance",14366,Chris Weitz,98,1.76,0.0,0.0,-1.0,0.0,True
A Bigger Splash,2015,6.4,"Drama, Thriller",21543,Luca Guadagnino,125,1.98,-1.0,-1.0,-1.0,-1.0,False
A Blonde in Love,1965,7.7,"Comedy, Romance, Drama",6283,Milos Forman,82,,-1.0,-1.0,-1.0,-1.0,False
A Boy and His Dog,1975,6.6,"Comedy, Drama, Sci-Fi",14725,L.Q. Jones,91,6.9,-1.0,-1.0,-1.0,-1.0,False
A Bridge Too Far,1977,7.4,"Drama, History, War",45708,Richard Attenborough,175,50.8,-1.0,-1.0,-1.0,-1.0,False
A Bronx Tale,1993,7.8,"Crime, Drama",112757,Robert De Niro,121,17.27,-1.0,-1.0,-1.0,-1.0,False
A Bug's Life,1998,7.2,"Animation, Adventure, Comedy",240414,John Lasseter,95,162.8,0.0,-1.0,0.0,0.0,True
A Case of You,2013,5.7,"Comedy, Romance",10252,Kat Coiro,89,,-1.0,-1.0,-1.0,-1.0,False
A Christmas Carol,2009,6.8,"Animation, Drama, Family",87114,Robert Zemeckis,96,137.86,-1.0,0.0,-1.0,0.0,True
A Christmas Horror Story,2015,5.7,"Fantasy, Horror, Mystery",7692,Grant Harvey,99,,-1.0,-1.0,-1.0,-1.0,False
A Christmas Prince,2017,5.7,"Comedy, Romance",7769,Alex Zamm,92,,-1.0,-1.0,-1.0,-1.0,False
A Christmas Story,1983,8.0,"Comedy, Family",117073,Bob Clark,94,19.29,-1.0,-1.0,-1.0,-1.0,False
A Christmas Tale,2008,7.1,"Comedy, Drama",6045,Arnaud Desplechin,150,1.06,-1.0,-1.0,-1.0,-1.0,False
A Cinderella Story,2004,5.9,"Comedy, Family, Romance",72508,Mark Rosman,95,51.44,-1.0,-1.0,-1.0,-1.0,False
A Civil Action,1998,6.5,Drama,25321,Steven Zaillian,115,56.7,0.0,1.0,-1.0,1.0,True
A Clockwork Orange,1971,8.3,"Crime, Drama, Sci-Fi",662768,Stanley Kubrick,136,,0.0,-1.0,-1.0,0.0,True
A Cock and Bull Story,2005,6.8,Comedy,11796,Michael Winterbottom,94,1.25,-1.0,-1.0,-1.0,-1.0,False
A Cry in the Dark,1988,6.9,"Biography, Drama",8097,Fred Schepisi,120,6.91,0.0,-1.0,-1.0,0.0,True
A Cure for Wellness,2016,6.4,"Drama, Fantasy, Horror",65326,Gore Verbinski,146,8.11,-1.0,-1.0,-1.0,-1.0,False
A Dangerous Method,2011,6.4,"Biography, Drama, Romance",90960,David Cronenberg,99,5.7,-1.0,-1.0,-1.0,-1.0,False
A Dark Song,2016,6.1,"Drama, Fantasy, Horror",9882,Liam Gavin,100,,-1.0,-1.0,-1.0,-1.0,False
A Day at the Races,1937,7.7,"Comedy, Musical, Sport",11783,Sam Wood,111,,0.0,-1.0,-1.0,0.0,True
A Dirty Shame,2004,5.1,Comedy,11439,John Waters,89,1.34,-1.0,-1.0,-1.0,-1.0,False
A Dog's Purpose,2017,7.0,"Adventure, Comedy, Drama",48007,Lasse Hallström,100,64.51,-1.0,-1.0,-1.0,-1.0,False
A Face in the Crowd,1957,8.2,"Drama, Music",11532,Elia Kazan,126,,-1.0,-1.0,-1.0,-1.0,False
A Family Man,2016,6.5,Drama,7456,Mark Williams,108,,-1.0,-1.0,-1.0,-1.0,False
A Fantastic Fear of Everything,2012,5.9,Comedy,12958,Crispian Mills,100,,-1.0,-1.0,-1.0,-1.0,False
A Few Best Men,2011,5.7,"Comedy, Romance",11806,Stephan Elliott,97,,-1.0,-1.0,-1.0,-1.0,False
A Few Good Men,1992,7.7,"Drama, Thriller",208153,Rob Reiner,138,141.34,0.0,-1.0,-1.0,0.0,True
A Field in England,2013,6.3,"Drama, History, Horror",8988,Ben Wheatley,90,0.03,-1.0,-1.0,-1.0,-1.0,False
A Fish Called Wanda,1988,7.6,"Comedy, Crime",119396,Charles Crichton,108,63.49,1.0,-1.0,-1.0,1.0,True
A Fistful of Dollars,1964,8.0,Western,171778,Sergio Leone,99,14.5,-1.0,-1.0,-1.0,-1.0,False
A Fistful of Dynamite,1971,7.7,"Drama, War, Western",25294,Sergio Leone,157,,-1.0,-1.0,-1.0,-1.0,False
